"","1: upregulation, -1: downregulation","Symbol","GC-FLT","FLT_Rep1","FLT_Rep2","FLT_Rep3","GC_Rep1","GC_Rep2","GC_Rep3"
"1","AT1G24430",NA,-1,2.8073549220576,2.58496250072116,2.8073549220576,2.32192809488736,2.32192809488736,2.32192809488736
"2","AT1G24600",NA,1,2.8073549220576,2.58496250072116,2.8073549220576,3.4594316186373,3.32192809488736,3.32192809488736
"3","AT1G28290",NA,-1,3.58496250072116,3.58496250072116,3.58496250072116,2.8073549220576,3,2.8073549220576
"4","AT1G58340",NA,1,2.58496250072116,2.58496250072116,2.8073549220576,3.32192809488736,3.16992500144231,3.32192809488736
"5","AT1G62570",NA,1,2.32192809488736,2.32192809488736,2.32192809488736,3.16992500144231,2.8073549220576,2.8073549220576
"6","AT1G64390",NA,-1,3,3,3,2.58496250072116,2.58496250072116,2.32192809488736
"7","AT1G69420",NA,-1,2.8073549220576,2.8073549220576,2.8073549220576,2.32192809488736,2.32192809488736,2.32192809488736
"8","AT1G74460",NA,-1,2.8073549220576,2.8073549220576,3,2.32192809488736,2.32192809488736,2.32192809488736
"9","AT1G80280",NA,-1,3.16992500144231,3,3.16992500144231,2.58496250072116,2.58496250072116,2.58496250072116
"10","AT2G22470",NA,1,2.8073549220576,2.58496250072116,2.8073549220576,3.32192809488736,3.32192809488736,3.32192809488736
"11","AT2G28400",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3,3.16992500144231,3.16992500144231
"12","AT2G28950",NA,-1,3.16992500144231,3.32192809488736,3.32192809488736,2.58496250072116,2.58496250072116,2.58496250072116
"13","AT2G38380",NA,-1,3.32192809488736,3.16992500144231,3.32192809488736,2.58496250072116,2.58496250072116,2.8073549220576
"14","AT2G39700",NA,-1,3.4594316186373,3.4594316186373,3.4594316186373,3,3,2.58496250072116
"15","AT3G12510",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3,3.16992500144231
"16","AT3G14940",NA,-1,3.32192809488736,3.32192809488736,3.16992500144231,2.58496250072116,2.8073549220576,2.58496250072116
"17","AT3G22790",NA,-1,2.8073549220576,2.8073549220576,2.58496250072116,2.32192809488736,2.32192809488736,2.32192809488736
"18","AT3G62060",NA,-1,2.8073549220576,2.8073549220576,2.58496250072116,2.32192809488736,2.32192809488736,2.32192809488736
"19","AT4G02290",NA,-1,3,3,3,2.58496250072116,2.58496250072116,2.32192809488736
"20","AT4G21850",NA,-1,3.16992500144231,3.16992500144231,3,2.58496250072116,2.58496250072116,2.58496250072116
"21","AT4G24780",NA,-1,3.16992500144231,3,3.16992500144231,2.58496250072116,2.58496250072116,2.32192809488736
"22","AT4G34760",NA,-1,3.16992500144231,3.32192809488736,3.32192809488736,2.58496250072116,2.58496250072116,2.58496250072116
"23","AT4G38860",NA,-1,3,3,3,2.32192809488736,2.32192809488736,2.58496250072116
"24","AT4G39800",NA,-1,3.16992500144231,3.16992500144231,3,2.58496250072116,2.58496250072116,2.58496250072116
"25","AT5G16590",NA,-1,2.8073549220576,3,2.8073549220576,2.32192809488736,2.32192809488736,2.32192809488736
"26","AT5G23020",NA,-1,3.4594316186373,3.32192809488736,3.16992500144231,2.32192809488736,2.32192809488736,2.32192809488736
"27","AT5G24310",NA,-1,2.8073549220576,2.8073549220576,2.58496250072116,2.32192809488736,2.32192809488736,2.32192809488736
"28","AT5G52310",NA,1,2.8073549220576,2.58496250072116,2.8073549220576,3.8073549220576,3.70043971814109,3.8073549220576
